,hisp,pop,n_competitors,ratings,reviews,spread_rating,metrics
0,0.496,78958,23.0,3.91304347826,27.3043478261,0.00225436307911,0.00135316370968
1,0.251,7918,1.0,4.0,34.0,0.0,0.0171760545592
2,0.301,80048,11.0,3.04545454545,113.454545455,0.00286078352988,0.00431641841341
3,0.151,805235,36.0,3.97222222222,394.138888889,0.00216148080995,0.0019442861439
4,0.393,80530,6.0,3.5,25.5,0.000533962498448,0.00110828262759
5,0.062,8067,1.0,4.0,44.0,0.0,0.0218172802777
6,0.209,80968,11.0,3.54545454545,123.0,0.00268007113922,0.00538596617294
7,0.889,8187,8.0,4.0625,12.125,0.00537437400757,0.00601658879932
8,0.337,8234,6.0,3.75,93.0,0.0369200874423,0.042354870051
9,0.064,8270,3.0,3.0,102.333333333,0.0,0.0371221281741
10,0.369,82922,11.0,3.45454545455,64.4545454545,0.00162803598563,0.00268518797213
11,0.344,83089,3.0,3.16666666667,84.3333333333,0.00156458737017,0.00321409037966
12,0.165,83301,6.0,3.75,37.5,0.0016566427774,0.00168815500414
13,0.366,83781,18.0,3.47222222222,41.6666666667,0.00190974087204,0.00172683455588
14,0.488,8392,4.0,4.0,5.5,0.00142993326978,0.00262154432793
15,0.529,84293,40.0,3.825,86.75,0.00960933885376,0.00393649235405
16,0.529,84293,1.0,2.0,20.0,0.0,0.000474535252038
17,0.423,8456,6.0,4.16666666667,9.5,0.00195127719962,0.00468109429202
18,0.274,84950,30.0,3.58333333333,49.8333333333,0.00374337845792,0.00210205349552
19,0.274,84950,2.0,3.25,12.0,2.35432607416e-05,0.000459093584461
20,0.072,85186,15.0,3.83333333333,170.466666667,0.00599863827389,0.00767092662592
21,0.072,85186,4.0,3.875,164.25,0.00305801422769,0.00747151820722
22,0.657,85331,26.0,3.73076923077,79.8846153846,0.00449426351502,0.00349264704608
23,0.328,8618,1.0,3.5,57.0,0.0,0.0231492225574
24,0.154,86187,17.0,3.88235294118,60.6470588235,0.00215809808904,0.00273188865139
25,0.38,88410,28.0,4.125,249.321428571,0.0176620291822,0.0116327439527
26,0.236,89701,13.0,3.11538461538,32.3076923077,0.00168337030802,0.00112207096436
27,0.131,89736,32.0,3.546875,271.125,0.0106088972096,0.0107163956982
28,0.087,89861,6.0,3.41666666667,34.3333333333,0.000539722460244,0.0013054111968
29,0.489,90173,11.0,4.09090909091,9.54545454545,0.000354873410001,0.000433051875582
30,0.927,9078,4.0,4.625,1.75,0.000330469266358,0.000891578541529
31,0.386,91714,17.0,3.29411764706,18.1176470588,0.000534269577164,0.000650736647618
